COD_RESTAURANTE,NOME,CATEGORIA,DESCRICAO,ENDERECO,IMAGEM
1,"Sr. Moustache's",Hamburgueria,"Aqui você poderá pedir nossos hamburgueres deliciosos, com qualidade e sabor inigualaveis quer experimentar?","Rua Waldomiro Fernandes 237",https://gstatic.com
2,"Espetaria Jardim do Lago",Espetaria,"Os espetinhos são anotados individualmente e preparados no momento do pedido, temos 26 tipos incluindo vegano, doces e premium, que variam de preços. Também servimos porções, caipirinhas, bebidas alcoólicas e não alcoólicas. Um ambiente agradável e amigável a todas as pessoas.","Castelo Branco 777",https://imgur.com
3,"Tia Augusta",Restaurante,"TIA AUGUSTA BAR E RESTAURANTE LTDA","Waldomiro Fernandes, 237",https://google.com
4,"Restaurante Pinheiros",restaurante,"O Melhor da Comida Caseira! Preço justo e qualidade incomparavel!","RUA WALDOMIRO FERNANDES, 282",
5,"sem nome","lanchonete de rua","lanchonete caseira ","RUA WALDOMIRO FERNANDES, 195",
6,"kass pizzaria",pizzaria,"Só pizza top, ótimo ingredientes e qualidade inigualavel.","RUA JOÃO BORGES, 138",
7,"2D espetaria",espetaria,"espetaria "," RUA JOÃO BORGES, 133",
8,"Ops Hamburgueria ",lanchonete,"Ops Hamburgueria foi criada em 2018 com a missao de oferecer  a você um hamburguer artesanal com ingredientes de qualidade e burguer de tomanho da sua fome.","RUA JOÃO BORGES, 439",
9,"planet pizza ",pizzaria,"Abre domingo as 18:30","RUA JOÃO BORGES, 536",
10,ki-recheio,"salgados de festas e bebidas","Salgados in Geral","RUA BLAISE PASCAL, 226",
11,"Pó de Lua",doceria,"desde 2014 levando delícias a sua casa e as suas festas","RUA ALFRED BERNHARD NOBEL, 43",
12,"The Best Açai",açaiteria,"O The Best Açai é a maior rede de açai self-service do mundo! Açai do seu jeito em casa!!","RUA ALFRED BERNHARD NOBEL, 1",
13,"Açougue Restaurante","açougue e restaurante","açougue e restaurante","AVENIDA ARTHUR THOMAS, 815",
14,"Jack Pizzaria",pizzaria,"Pizza Grande, Combo familia pizza big, mais broto, pizza grande 60cm","RUA SERRA DOS PARECIS, 205",
15,"Restaurante Cozinha Paraense",Restaurante,"O Cozinha Paraense traz, grandes novidades da culinaria Amazonica disponiveis in Londrina, pratos tipicos do norte do Brasil.","RUA SOROCABA, 685",
16,"Mauros lanches",lanchonete,Lanchonete,"ARTHUR THOMAS, 830",
17,"PIZZARIA E CASA DE MASSAS LAZANHETE","pizzaria, e casa de massas","pizzaria, e casa de massas ","ARTHUR THOMAS, 1020",
18,"aseiro Grill",Restaurante,"Marmitas de qualidade com tempero caseiro há quase 30 anos in Londrina.","ARTHUR THOMAS, 1050",
19,O’VIEIRA,"Massas Artesanais","Massas Artesanais","ARTHUR THOMAS, 1058",
21,"Costela na Brasa",Restaurante,"sei la","RUA SERRA DA TABATINGA, 1028",
23,"VIVI MOIMESSO",doceria,"100% Natural livre de conservantes e industrializados","AVENIDA SERRA ESPERANÇA, 930",
24,"Seband Paes",padaria,"Tem pão","AVENIDA SERRA ESPERANÇA, 988",
25,"CASA DO DEV","CASA DO MAIS SAFADO","O MAIS LINDO DEV MORA NESSE LOCAL","RUA JOÃO BORGES, 361",
26,"CASA DA PIZZA",Pizzaria,"melhor pizzaria da região","AVENIDA SERRA ESPERANÇA, 1000",
27,"ESTAÇÃO 18 ESPETARIA",Espetaria,"Espetinhos, porções e lanches.","RUA SERRA DOIS IRMÃOS, 275",
28,"BIG DOG LANCHES",Lanchonete,"Nada mlhor que lanche quando bate aquela fome não é memo? Experimente as nossas opções e garantimos que ficará surpreendido!","RUA SERRA GRANDE, 279",
29,"SR.HOT DOG",Lanchonete,"Há mais de uma década preparando lanche com sabor e capricho. No Sr.Hot Dog, voc^encontra hot dogs bem sevidos Dog Burguer Queijo, proções e refeições para matar a fome no jantar. Ingredientes combinados com o padrão da casa e opções para diferentes momentos. Escolha seu hot dog ou burguer favorito, complete o pedido com uma porção.","SERRA DO MARACAJU, 1750",
