COD_RESTAURANTE,NOME,CATEGORIA,DESCRICAO,ENDERECO,IMAGEM
1,"Sr. Moustache's",Hamburgueria,"Aqui você poderá pedir nossos hamburgueres deliciosos, com qualidade e sabor inigualaveis quer experimentar?","Rua Waldomiro Fernandes 237",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWKjwWidILAp7FsxP43xkpS4JPjEW0swb14LY3eD2hXwCaYxSj1SbwAU8M&s=10
2,"Espetaria Jardim do Lago",Espetaria,"Os espetinhos são anotados individualmente e preparados no momento do pedido, temos 26 tipos incluindo vegano, doces e premium, que variam de preços. Também servimos porções, caipirinhas, bebidas alcoólicas e não alcoólicas. Um ambiente agradável e amigável a todas as pessoas.","Castelo Branco 777",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDlHlRL5G8BqGhdjK8KLGbDcMJKRPN03R9T3b5e9ByUBMnsR3dKMl8Z7vl&s=10
3,"Tia Augusta",Restaurante,"No Tia Augusta, você encontra comida saborosa, feita com carinho e aquele gostinho especial de comida caseira. Um ambiente acolhedor para aproveitar uma boa refeição e momentos deliciosos à mesa.","Waldomiro Fernandes, 237",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQSOou25UrwbKBnjcdwTBe8BIEc2btJ569ZTdEjHA6b0pXuw3UUNkL34o&s=10
4,"Restaurante Pinheiros",Restaurante,"O Restaurante Pinheiros oferece uma experiência gastronômica saborosa e acolhedora, com opções preparadas para quem valoriza uma boa refeição. Um lugar perfeito para reunir a família, os amigos ou simplesmente aproveitar aquele almoço especial.","RUA WALDOMIRO FERNANDES, 282",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0WOg1BWpu6dOCoWNQ71i2IOp2-W_RBmwtQEqEc1L_mA&s=10
6,"Kass Pizzaria",Pizzaria,"Na Kass Pizzaria, sabor e qualidade se encontram em cada pizza. Massas deliciosas, recheios caprichados e combinações irresistíveis para deixar seu momento ainda mais especial. Perfeita para compartilhar ou aproveitar sozinho!","RUA JOÃO BORGES, 138",https://files.menudino.com/merchants/c5e9fc13-2faf-11ee-9964-0022483864db/logo.png
7,"2D espetaria",Espetaria,"Na 2D Espetaria, o sabor é preparado na brasa. Espetinhos deliciosos, carnes bem preparadas e acompanhamentos saborosos para você aproveitar cada momento. O lugar perfeito para reunir os amigos, curtir a família e saborear uma boa comida em um ambiente descontraído."," RUA JOÃO BORGES, 133",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROjjP6mIv7r8yEaqZJI4aP4im9HEJLCEJvG8MVLUgvzY86q5pF9HruTIE&s=10
8,"Ops Hamburgueria ",Lanchonete,"Na Ops Hamburgueria, o clássico hambúrguer ganha muito sabor e personalidade. Hambúrgueres preparados com ingredientes selecionados, combinações caprichadas e aquele sabor que faz você querer pedir de novo.","RUA JOÃO BORGES, 439",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7QJFv4m3WPFe_a6fFH_PRZfoNvSISTbKaHxKzGusnZEWBWHqOMHtjZdo&s=10
9,"Planet Pizza",Pizzaria,"Prepare-se para uma viagem pelo universo do sabor na Planet Pizza! Pizzas deliciosas, recheios caprichados e opções para todos os gostos. O destino perfeito para quem ama uma boa pizza.","RUA JOÃO BORGES, 536",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuPaE1VoaTSNKCBYj2rMnlJnTrai8bkuQ91BgSb6ThVw&s=10
10,Ki-Recheio,"Salgados de Festas e Bebidas","Na Ki-Recheios, sua festa fica ainda mais gostosa! Encontre deliciosos salgados para festas e bebidas para acompanhar seus momentos especiais. Qualidade, praticidade e muito sabor para comemorar com quem você gosta.","RUA BLAISE PASCAL, 226",https://ugc.production.linktr.ee/RAhBw5vySV6abuCPeIJU_IMG_2521.PNG?io=true&size=avatar-v3_0
11,"Pó de Lua",Doceria,"A Pó de Lua transforma doces em momentos especiais. Delícias preparadas com carinho, sabor e criatividade para adoçar seu dia, surpreender alguém especial ou deixar sua comemoração ainda mais gostosa.","RUA ALFRED BERNHARD NOBEL, 43",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwrXRrwDTzS8tIzv9ZkFJqnnVAfChh0R4Qgo03YrOd0Q&s
12,"The Best Açai",Açaiteria,"O The Best Açai é a maior rede de açai self-service do mundo! Açai do seu jeito em casa!!","RUA ALFRED BERNHARD NOBEL, 1",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdio-hP3eeveKN1d-Zp6az_6mbsMGCA7UQkiWy9CKqPVUOiH-HEThEuzN1&s=10
13,"Açougue Restaurante","Açougue & Restaurante","No Açougue Restaurante, sabor e qualidade são protagonistas. Carnes e pratos preparados para quem aprecia uma boa refeição, com aquele toque especial que transforma cada momento à mesa em uma experiência deliciosa.","AVENIDA ARTHUR THOMAS, 815",.
14,"Jack Pizzaria",Pizzaria,"Pizza Grande, Combo familia pizza big, mais broto, pizza grande 60cm","RUA SERRA DOS PARECIS, 205",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy4-uovqIfK_COwFawMBF7Vbc3wKd1HWqi4XCMY8zl2b22xhvwoZ8ZJH4&s=10
15,"Restaurante Cozinha Paraense",Restaurante,"O Cozinha Paraense traz, grandes novidades da culinaria Amazonica disponiveis in Londrina, pratos tipicos do norte do Brasil.","RUA SOROCABA, 685",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdBqKd4qPt6s5IGyokpTq98nkNq5OP6yjSRbcS8Z3SjWRXSzWmgclSUJk&s=10
16,"Mauros lanches",Lanchonete,"No Mauros Lanche, matar a fome fica muito mais gostoso! Lanches preparados com muito sabor e capricho, perfeitos para qualquer hora do dia. Uma opção deliciosa para quem não abre mão de um bom lanche.","ARTHUR THOMAS, 830",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn2uLI_rWRjKU7xZW3M15ZtimwlW9rhn4_cEv7gDH4GJHxn0q-oShVVd7XcDpd9rFi7nYg6JAJv5Fkp2CARFzhMCj8iak5U8cW56OtO18ut-gXmRWJTR9xpt8GihvQ6WdZxnQzjSg=s680-w680-h510-rw
17,"PIZZARIA E CASA DE MASSAS LAZANHETE",Pizzaria,"Na Lazanhete, você encontra o melhor da culinária italiana em pizzas e massas deliciosas. Pratos preparados com carinho, ingredientes saborosos e aquele toque especial que transforma uma refeição em um momento inesquecível.","ARTHUR THOMAS, 1020",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPhl2WGij6ftf7C2_fDmoMZt5GJPjKYnnvZQNFvgqAHg&s
18,"Caseiro Grill",Restaurante,"Marmitas de qualidade com tempero caseiro há quase 30 anos in Londrina.","ARTHUR THOMAS, 1050",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYxBsjC6T-olPlYPIIyWy7H8xgsvFgA-pkJ9ZwtyhcAw&s
19,O’VIEIRA,"Massas Artesanais","Na O’Vieira, as massas artesanais são preparadas com cuidado para proporcionar uma experiência cheia de sabor. Qualidade, tradição e carinho em cada preparo para quem aprecia uma boa massa feita de forma especial.","ARTHUR THOMAS, 1058",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvRaiHEnqmPHLrv3HCdD_1hwYABVPWUnfygFqDhZDmdkPDcw3_Oj7ogNY&s=10
21,"Costela na Brasa",Restaurante,"No Costela na Brasa, os amantes de uma boa carne encontram sabor de verdade. Carnes preparadas na brasa, com aquele aroma irresistível e o sabor marcante que combina perfeitamente com uma refeição especial.","RUA SERRA DA TABATINGA, 1028",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgnHoc0rleGBPVdT1vMfjwlwYUJ7NV7eNRSejq0cJw9w&s
23,"VIVI MOIMESSO",Doceria,"Na Vivi Moimesso, cada doce é preparado para transformar momentos simples em lembranças deliciosas. Doces feitos com carinho, capricho e muito sabor para adoçar suas comemorações ou deixar qualquer dia mais especial.","AVENIDA SERRA ESPERANÇA, 930",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG0f_bI80W3LSPId_PDyk_M3o9THt6L-pQwTM-P05I-Q&s
24,"Seband Paes",Padaria,"Oferecemos pães fresquinhos, deliciosos doces, salgados e opções para aquele café especial, sempre buscando qualidade, sabor e aquele gostinho de feito com carinho.

Seja para começar bem o dia, fazer uma pausa para um café ou levar algo gostoso para casa, a Seband Pães é o lugar certo para você!","AVENIDA SERRA ESPERANÇA, 988",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_O4r6I8seMMA4fNMMMshbsYUTOwdrfY3i5MK9l70E7w&s
26,"Casa da Pizza",Pizzaria,"A Casa da Pizza é o lugar certo para quem ama uma pizza bem preparada e cheia de sabor. Com opções deliciosas e recheios caprichados, é perfeita para reunir a família e os amigos em torno de uma boa pizza.","AVENIDA SERRA ESPERANÇA, 1000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMKICcVWuP3YWL4kBKOEP1KoaHnDbboqf18rf2PmCeoA&s=10
27,"ESTAÇÃO 18 ESPETARIA",Espetaria,"Na Estação 18 Espetaria, o sabor encontra a brasa! Espetinhos e delícias preparados com muito capricho para acompanhar aquele encontro com os amigos, um happy hour ou simplesmente matar a vontade de comer algo especial.","RUA SERRA DOIS IRMÃOS, 275",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/16/fb/66/logo.jpg?w=600&h=400&s=1
28,"BIG DOG LANCHES",Lanchonete,"Nada mlhor que lanche quando bate aquela fome não é memo? Experimente as nossas opções e garantimos que ficará surpreendido!","RUA SERRA GRANDE, 279",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAuD8gWDpWusDI1q7W257fUvkYh3FjCNnKPAAelAQZ6XA6pmdqAGCXHTeM&s=10
29,"SR.HOT DOG",Lanchonete,"Há mais de uma década preparando lanche com sabor e capricho. No Sr.Hot Dog, voc^encontra hot dogs bem sevidos Dog Burguer Queijo, proções e refeições para matar a fome no jantar. Ingredientes combinados com o padrão da casa e opções para diferentes momentos. Escolha seu hot dog ou burguer favorito, complete o pedido com uma porção.","SERRA DO MARACAJU, 1750",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj37P3w-nyoYOyjTQxhFYxEDhZdTutcXbmrzuEyWjc9Q&s=10
